[Sun Dec 28 13:09:03 2014] [notice] Apache/2.2.21 (Win32) PHP/5.3.9 configured -- resuming normal operations
[Sun Dec 28 13:09:03 2014] [notice] Server built: Sep 10 2011 11:34:11
[Sun Dec 28 13:09:03 2014] [notice] Parent: Created child process 12412
[Sun Dec 28 13:09:04 2014] [notice] Child 12412: Child process is running
[Sun Dec 28 13:09:04 2014] [notice] Child 12412: Acquired the start mutex.
[Sun Dec 28 13:09:04 2014] [notice] Child 12412: Starting 64 worker threads.
[Sun Dec 28 13:09:04 2014] [notice] Child 12412: Starting thread to listen on port 8080.
[Sun Dec 28 13:09:04 2014] [notice] Child 12412: Starting thread to listen on port 8080.
[Sun Dec 28 13:09:10 2014] [error] [client ::1] PHP Notice:  Undefined index: execute in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 13
[Sun Dec 28 13:10:27 2014] [error] [client ::1] PHP Warning:  fopen(queries/rank.txt) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 41, referer: http://localhost:8080/
[Sun Dec 28 13:10:27 2014] [error] [client ::1] PHP Warning:  filesize() [<a href='function.filesize'>function.filesize</a>]: stat failed for queries/rank.txt in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 42, referer: http://localhost:8080/
[Sun Dec 28 13:10:27 2014] [error] [client ::1] PHP Warning:  fread() expects parameter 1 to be resource, boolean given in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 42, referer: http://localhost:8080/
[Sun Dec 28 13:10:27 2014] [error] [client ::1] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 43, referer: http://localhost:8080/
[Sun Dec 28 13:10:31 2014] [error] [client ::1] PHP Warning:  fopen(queries/rank.txt) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 41, referer: http://localhost:8080/
[Sun Dec 28 13:10:31 2014] [error] [client ::1] PHP Warning:  filesize() [<a href='function.filesize'>function.filesize</a>]: stat failed for queries/rank.txt in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 42, referer: http://localhost:8080/
[Sun Dec 28 13:10:31 2014] [error] [client ::1] PHP Warning:  fread() expects parameter 1 to be resource, boolean given in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 42, referer: http://localhost:8080/
[Sun Dec 28 13:10:31 2014] [error] [client ::1] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 43, referer: http://localhost:8080/
[Sun Dec 28 13:10:36 2014] [error] [client ::1] PHP Warning:  fopen(queries/rank.txt) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 41, referer: http://localhost:8080/
[Sun Dec 28 13:10:36 2014] [error] [client ::1] PHP Warning:  filesize() [<a href='function.filesize'>function.filesize</a>]: stat failed for queries/rank.txt in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 42, referer: http://localhost:8080/
[Sun Dec 28 13:10:36 2014] [error] [client ::1] PHP Warning:  fread() expects parameter 1 to be resource, boolean given in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 42, referer: http://localhost:8080/
[Sun Dec 28 13:10:36 2014] [error] [client ::1] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\\Users\\alisio\\Documents\\GitHub\\frontedWeb\\Quiz\\8.5\\root\\php\\connection.php on line 43, referer: http://localhost:8080/
